City,State,Country,Shows Played,First Played,Last Played,Venues Played,Unique Songs,Total Song Entries
"Patchogue","New York","United States",53,"1/27/2023","5/8/2026","Blue Point Brewery; 89 North; Downtown; Stereo Garden; Shorefront Park; Birdies; Bobbique; Baja Boathouse",182,873
"Parksville","New York","United States",6,"6/21/2024","6/28/2026","Arrowhead Ranch; Cabernet Frank's",56,88
"Greenlawn","New York","United States",6,"12/31/2022","3/28/2025","Beau’s Bar",66,131
"Albany","New York","United States",5,"8/23/2024","4/25/2026","The Eleven at Lark Hall; Ophelia's; The Hollow Bar",31,59
"Amityville","New York","United States",5,"1/15/2023","4/19/2026","The Warehouse",39,60
"Huntington","New York","United States",5,"3/10/2023","11/30/2024","Industry Lounge & Gallery",49,93
"Port Jefferson","New York","United States",4,"4/28/2024","1/3/2026","Port Jeff Brewing Company",21,44
"Sayville","New York","United States",3,"12/27/2023","12/27/2025","Sayville Theater",46,66
"Syracuse","New York","United States",3,"6/29/2024","11/15/2025","Funk 'n Waffles; The Night Drop",28,43
"New Haven","Connecticut","United States",3,"1/13/2024","8/1/2025","Stella Blues",37,59
"New Paltz","New York","United States",2,"7/11/2026","7/11/2026","Ulster County Fairgrounds; The Lemon Squeeze",25,30
"Saint James","New York","United States",2,"5/4/2024","6/20/2026","Thatch Meadow Farm",16,18
"Philadelphia","Pennsylvania","United States",2,"7/26/2023","3/27/2026","Zapp Factory; The Mann Center Parking Lot",18,20
"Bayport","New York","United States",2,"5/17/2024","2/27/2026","People's Pub",34,42
"Oneonta","New York","United States",2,"8/8/2025","11/8/2025","Black Oak Tavern",18,25
"Center Moriches","New York","United States",2,"9/1/2024","8/31/2025","Camp Pa-Qua-Tuck",13,14
"Brooklyn","New York","United States",2,"6/15/2024","7/13/2025","Baby's All Right; Brooklyn Music Kitchen",7,9
"Wilmington","North Carolina","United States",2,"7/18/2023","7/19/2023","The Eagle’s Dare",24,26
"Port Chester","New York","United States",1,"1/16/2026","1/16/2026","Hubbards Cupboard",13,17
"Buffalo","New York","United States",1,"8/9/2025","8/9/2025","Nietzsche's",7,8
"Stowe","Vermont","United States",1,"2/22/2025","2/22/2025","Alfie's Wild Ride",36,39
"Bethpage","New York","United States",1,"1/18/2025","1/18/2025","Mr. Beery's",17,20
"Westernville","New York","United States",1,"12/28/2024","12/28/2024","Woods Valley Ski Area",14,15
"Stony Brook","New York","United States",1,"12/1/2024","12/1/2024","Long Island Music and Entertainment Hall of Fame",5,5
"Brookhaven","New York","United States",1,"9/7/2024","9/7/2024","H.O.G. Farm",11,11
"Boston","Massachusetts","United States",1,"8/22/2024","8/22/2024","Aeronaut Allston",13,16
"Worcester","Massachusetts","United States",1,"8/21/2024","8/21/2024","Electric Haze",3,3
"Unadilla","New York","United States",1,"6/28/2024","6/28/2024","Muddy River Farm Brewery",6,6
"Holtsville","New York","United States",1,"2/2/2024","2/2/2024","Long Island Glass",24,30
"Riverhead","New York","United States",1,"10/22/2023","10/22/2023","Jamesport Farm Brewery",30,36
"Lake Ronkonkoma","New York","United States",1,"10/2/2023","10/2/2023","Beach Club Estate",21,22
"New York","New York","United States",1,"8/3/2023","8/3/2023","Mercury Lounge",6,6
"Greenville","North Carolina","United States",1,"3/4/2023","3/4/2023","Southernside Brewing Co.",10,10
