Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"Crescent Sun","Original","",138,"12/31/2022","Beau’s Bar","Greenlawn","7/25/2026","Shorefront Park","Patchogue",0,"Regular",0,0.3,4,40,30
"Dead Man Walking","Original","",115,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","Ulster County Fairgrounds","New Paltz",2,"Regular",0,0.3,3,44,32
"Beautiful Buzz","Original","",67,"11/25/2023","Industry Lounge & Gallery","Huntington","7/11/2026","Ulster County Fairgrounds","New Paltz",2,"Regular",2,0.7,5,30,22
"Money Man","Original","",62,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","The Lemon Squeeze","New Paltz",1,"Regular",5,1.6,8,22,17
"Get Down","Original","",55,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","The Lemon Squeeze","New Paltz",1,"Regular",5,1.8,7,24,20
"No Rest","Original","",54,"4/28/2024","Port Jeff Brewing Company","Port Jefferson","7/11/2026","Ulster County Fairgrounds","New Paltz",2,"Regular",1,0.5,3,31,26
"Shakedown Street","Cover","Grateful Dead",45,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","The Lemon Squeeze","New Paltz",1,"Regular",2,2.5,12,20,15
"Crybaby","Original","",44,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","The Lemon Squeeze","New Paltz",1,"Regular",1,2.2,10,25,18
"China Cat Sunflower","Cover","Grateful Dead",41,"12/31/2022","Beau’s Bar","Greenlawn","6/27/2026","Arrowhead Ranch","Parksville",4,"Regular",3,3.6,11,15,13
"Sand","Cover","Phish",41,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","The Lemon Squeeze","New Paltz",1,"Regular",9,2.7,9,18,17
"Stay Easy","Original","",39,"12/31/2022","Beau’s Bar","Greenlawn","6/27/2026","Arrowhead Ranch","Parksville",4,"Regular",3,2.2,10,18,13
"Deal","Cover","Jerry Garcia",38,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","Ulster County Fairgrounds","New Paltz",2,"Regular",1,2.7,7,20,16
"Feel Free","Original","",34,"4/20/2023","Blue Point Brewery","Patchogue","7/25/2026","Shorefront Park","Patchogue",0,"Regular",4,2.7,7,18,13
"Jam","Original","",34,"4/1/2023","Beau’s Bar","Greenlawn","6/27/2026","Arrowhead Ranch","Parksville",4,"Regular",7,2.6,14,17,14
"Rise","Original","",33,"4/12/2023","Blue Point Brewery","Patchogue","5/23/2026","Pat Cav's Backyard","Sayville",6,"Regular",11,2.6,19,19,13
"Gotta Jibboo","Cover","Phish",30,"3/10/2023","Industry Lounge & Gallery","Huntington","3/27/2026","Zapp Factory","Philadelphia",12,"Regular",10,3.1,12,18,14
"Funky Bitch","Cover","Son Seals",29,"1/27/2023","Blue Point Brewery","Patchogue","4/9/2026","89 North","Patchogue",11,"Regular",10,3.1,10,14,11
"Crosseyed and Painless","Cover","Talking Heads",28,"4/1/2023","Beau’s Bar","Greenlawn","7/11/2026","The Lemon Squeeze","New Paltz",1,"Regular",4,3.4,13,14,12
"Not Fade Away","Cover","The Crickets",28,"1/27/2023","Blue Point Brewery","Patchogue","7/11/2026","Ulster County Fairgrounds","New Paltz",2,"Regular",0,3.9,18,15,12
"You and Me","Original","",28,"6/28/2025","Arrowhead Ranch","Parksville","7/25/2026","Shorefront Park","Patchogue",0,"Regular",0,0.6,3,17,13
"Franklin's Tower","Cover","Grateful Dead",27,"12/31/2022","Beau’s Bar","Greenlawn","7/11/2026","The Lemon Squeeze","New Paltz",1,"Regular",3,4.7,12,15,13
"Fire on the Mountain","Cover","Grateful Dead",26,"12/31/2022","Beau’s Bar","Greenlawn","1/3/2026","Port Jeff Brewing Company","Port Jefferson",20,"Regular",4,3.3,12,15,13
"Bubbles","Original","",25,"10/20/2023","89 North","Patchogue","5/23/2026","Pat Cav's Backyard","Sayville",6,"Regular",4,3.3,14,15,13
"Summertime","Original","",23,"3/29/2023","Blue Point Brewery","Patchogue","6/20/2026","Thatch Meadow Farm","Saint James",5,"Regular",6,4.3,24,16,14
"That's What Love Will Make You Do","Cover","Little Milton",21,"3/29/2023","Blue Point Brewery","Patchogue","4/9/2026","89 North","Patchogue",11,"Regular",8,5.1,15,12,11
"First Tube","Cover","Phish",20,"12/31/2022","Beau’s Bar","Greenlawn","9/29/2025","89 North","Patchogue",27,"Regular",0,4.3,26,12,9
