Venue,City,State,Shows Played,First Played,Last Played,Unique Songs Played,Total Song Performances
"Blue Point Brewery","Patchogue","New York",32,"1/27/2023","5/8/2026",152,590
"89 North","Patchogue","New York",12,"3/11/2023","4/9/2026",80,169
"Beau’s Bar","Greenlawn","New York",6,"12/31/2022","3/28/2025",66,131
"Arrowhead Ranch","Parksville","New York",5,"6/22/2024","6/28/2026",48,76
"The Warehouse","Amityville","New York",5,"1/15/2023","4/19/2026",39,60
"Industry Lounge & Gallery","Huntington","New York",5,"3/10/2023","11/30/2024",49,93
"Port Jeff Brewing Company","Port Jefferson","New York",4,"4/28/2024","1/3/2026",21,44
"Sayville Theater","Sayville","New York",3,"12/27/2023","12/27/2025",46,66
"Ophelia's","Albany","New York",3,"8/23/2024","8/2/2025",30,47
"Stella Blues","New Haven","Connecticut",3,"1/13/2024","8/1/2025",37,59
"Thatch Meadow Farm","Saint James","New York",2,"5/4/2024","6/20/2026",16,18
"People's Pub","Bayport","New York",2,"5/17/2024","2/27/2026",34,42
"Funk 'n Waffles","Syracuse","New York",2,"2/17/2025","11/15/2025",25,32
"Black Oak Tavern","Oneonta","New York",2,"8/8/2025","11/8/2025",18,25
"Camp Pa-Qua-Tuck","Center Moriches","New York",2,"9/1/2024","8/31/2025",13,14
"Shorefront Park","Patchogue","New York",2,"7/22/2023","7/20/2024",7,9
"Birdies","Patchogue","New York",2,"8/10/2023","2/29/2024",36,46
"Bobbique","Patchogue","New York",2,"4/20/2023","11/22/2023",22,25
"The Eagle’s Dare","Wilmington","North Carolina",2,"7/18/2023","7/19/2023",24,26
"Ulster County Fairgrounds","New Paltz","New York",1,"7/11/2026","7/11/2026",7,9
"The Lemon Squeeze","New Paltz","New York",1,"7/11/2026","7/11/2026",18,21
"The Eleven at Lark Hall","Albany","New York",1,"4/25/2026","4/25/2026",5,5
"Zapp Factory","Philadelphia","Pennsylvania",1,"3/27/2026","3/27/2026",6,6
"Hubbards Cupboard","Port Chester","New York",1,"1/16/2026","1/16/2026",13,17
"Downtown","Patchogue","New York",1,"8/14/2025","8/14/2025",18,19
"Nietzsche's","Buffalo","New York",1,"8/9/2025","8/9/2025",7,8
"Baby's All Right","Brooklyn","New York",1,"7/13/2025","7/13/2025",5,5
"Alfie's Wild Ride","Stowe","Vermont",1,"2/22/2025","2/22/2025",36,39
"The Hollow Bar","Albany","New York",1,"2/21/2025","2/21/2025",7,7
"Mr. Beery's","Bethpage","New York",1,"1/18/2025","1/18/2025",17,20
"Woods Valley Ski Area","Westernville","New York",1,"12/28/2024","12/28/2024",14,15
"Long Island Music and Entertainment Hall of Fame","Stony Brook","New York",1,"12/1/2024","12/1/2024",5,5
"Stereo Garden","Patchogue","New York",1,"9/20/2024","9/20/2024",4,4
"H.O.G. Farm","Brookhaven","New York",1,"9/7/2024","9/7/2024",11,11
"Aeronaut Allston","Boston","Massachusetts",1,"8/22/2024","8/22/2024",13,16
"Electric Haze","Worcester","Massachusetts",1,"8/21/2024","8/21/2024",3,3
"The Night Drop","Syracuse","New York",1,"6/29/2024","6/29/2024",9,11
"Muddy River Farm Brewery","Unadilla","New York",1,"6/28/2024","6/28/2024",6,6
"Cabernet Frank's","Parksville","New York",1,"6/21/2024","6/21/2024",12,12
"Brooklyn Music Kitchen","Brooklyn","New York",1,"6/15/2024","6/15/2024",4,4
"Long Island Glass","Holtsville","New York",1,"2/2/2024","2/2/2024",24,30
"Jamesport Farm Brewery","Riverhead","New York",1,"10/22/2023","10/22/2023",30,36
"Beach Club Estate","Lake Ronkonkoma","New York",1,"10/2/2023","10/2/2023",21,22
"Baja Boathouse","Patchogue","New York",1,"9/30/2023","9/30/2023",11,11
"Mercury Lounge","New York","New York",1,"8/3/2023","8/3/2023",6,6
"The Mann Center Parking Lot","Philadelphia","Pennsylvania",1,"7/26/2023","7/26/2023",14,14
"Southernside Brewing Co.","Greenville","North Carolina",1,"3/4/2023","3/4/2023",10,10
