Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"Dead Man Walking","Original","",102,"12/31/2022","Beau’s Bar","Greenlawn","08/29/2026","Slidin Dirty","Troy",102,1,"Regular",0,0.3,3,46,33
"Crescent Sun","Original","",100,"12/31/2022","Beau’s Bar","Greenlawn","08/31/2026","Wonder Bar","Asbury Park",100,0,"Regular",1,0.3,4,41,31
"Beautiful Buzz","Original","",55,"11/25/2023","Industry Lounge & Gallery","Huntington","07/11/2026","Ulster County Fairgrounds","New Paltz",55,6,"Regular",2,0.7,5,30,22
"No Rest","Original","",55,"04/28/2024","Port Jeff Brewing Company","Port Jefferson","08/29/2026","Slidin Dirty","Troy",55,1,"Regular",0,0.6,4,32,27
"Money Man","Original","",50,"12/31/2022","Beau’s Bar","Greenlawn","08/15/2026","Hallockville","Riverhead",50,3,"Regular",2,1.6,8,23,18
"Get Down","Original","",47,"12/31/2022","Beau’s Bar","Greenlawn","08/15/2026","Hallockville","Riverhead",47,3,"Regular",1,1.8,7,25,20
"Crybaby","Original","",40,"12/31/2022","Beau’s Bar","Greenlawn","07/11/2026","The Lemon Squeeze","New Paltz",40,5,"Regular",1,2.2,10,25,18
"Stay Easy","Original","",39,"12/31/2022","Beau’s Bar","Greenlawn","06/27/2026","Arrowhead Ranch","Parksville",39,8,"Regular",3,2.2,10,18,13
"Shakedown Street","Cover","Grateful Dead",38,"12/31/2022","Beau’s Bar","Greenlawn","08/29/2026","Slidin Dirty","Troy",38,1,"Regular",12,2.5,12,21,16
"Deal","Cover","Jerry Garcia",36,"12/31/2022","Beau’s Bar","Greenlawn","08/28/2026","Nietzsche's","Buffalo",36,2,"Regular",5,2.7,7,21,17
"Sand","Cover","Phish",36,"12/31/2022","Beau’s Bar","Greenlawn","08/28/2026","Nietzsche's","Buffalo",36,2,"Regular",4,2.7,9,19,18
"Feel Free","Original","",33,"04/20/2023","Blue Point Brewery","Patchogue","07/25/2026","Shorefront Park","Patchogue",33,4,"Regular",4,2.7,7,18,13
"Jam","Original","",33,"04/01/2023","Beau’s Bar","Greenlawn","06/27/2026","Arrowhead Ranch","Parksville",33,8,"Regular",7,2.6,14,17,14
"Rise","Original","",33,"04/12/2023","Blue Point Brewery","Patchogue","08/29/2026","Slidin Dirty","Troy",33,1,"Regular",19,2.8,19,20,14
"Funky Bitch","Cover","Son Seals",30,"01/27/2023","Blue Point Brewery","Patchogue","08/28/2026","Nietzsche's","Buffalo",30,2,"Regular",1,3.4,12,15,12
"China Cat Sunflower","Cover","Grateful Dead",28,"12/31/2022","Beau’s Bar","Greenlawn","06/27/2026","Arrowhead Ranch","Parksville",28,8,"Regular",3,3.6,11,15,13
"Crosseyed and Painless","Cover","Talking Heads",28,"04/01/2023","Beau’s Bar","Greenlawn","07/11/2026","The Lemon Squeeze","New Paltz",28,5,"Regular",4,3.4,13,14,12
"Gotta Jibboo","Cover","Phish",28,"03/10/2023","Industry Lounge & Gallery","Huntington","03/27/2026","Zapp Factory","Philadelphia",28,16,"Regular",10,3.1,12,18,14
"You and Me","Original","",28,"06/28/2025","Arrowhead Ranch","Parksville","07/25/2026","Shorefront Park","Patchogue",27,4,"Regular",0,0.6,3,17,13
"Fire on the Mountain","Cover","Grateful Dead",26,"12/31/2022","Beau’s Bar","Greenlawn","01/03/2026","Port Jeff Brewing Company","Port Jefferson",26,24,"Regular",4,3.3,12,15,13
"Not Fade Away","Cover","The Crickets",26,"01/27/2023","Blue Point Brewery","Patchogue","07/11/2026","Ulster County Fairgrounds","New Paltz",26,6,"Regular",0,3.9,18,15,12
"Bubbles","Original","",25,"10/20/2023","89 North","Patchogue","08/29/2026","Slidin Dirty","Troy",25,1,"Regular",7,3.3,14,17,15
"Summertime","Original","",25,"03/29/2023","Blue Point Brewery","Patchogue","08/29/2026","Slidin Dirty","Troy",25,1,"Regular",5,4.2,24,18,16
"Franklin's Tower","Cover","Grateful Dead",23,"12/31/2022","Beau’s Bar","Greenlawn","07/11/2026","The Lemon Squeeze","New Paltz",23,5,"Regular",3,4.7,12,15,13
"First Tube","Cover","Phish",20,"12/31/2022","Beau’s Bar","Greenlawn","09/29/2025","89 North","Patchogue",20,31,"Bust Out",0,4.3,26,12,9
"Scarlet Begonias","Cover","Grateful Dead",20,"04/12/2023","Blue Point Brewery","Patchogue","09/29/2025","89 North","Patchogue",20,31,"Bust Out",4,3.8,12,14,12
"That's What Love Will Make You Do","Cover","Little Milton",19,"03/29/2023","Blue Point Brewery","Patchogue","04/09/2026","89 North","Patchogue",19,15,"Regular",8,5.1,15,12,11
"West L.A. Fadeaway","Cover","Grateful Dead",18,"09/15/2023","Blue Point Brewery","Patchogue","08/28/2026","Nietzsche's","Buffalo",18,2,"Regular",2,5.2,18,11,10
